Library name,Module set,Work shift,n_diff_assign,n_assign,n_diff_assign_selected_modules,n_assign_selected_modules,percentage_gap,targets,percentage_n_assign_selected_modules,percentage_n_assign,d_lev_mean,Sequence difference
FDA.01.01,LAB-1,False,1,24,0,8,0.0,1,0.0,4.2,0.89,0.10999999999999999
FDA.01.01,LAB-1,True,1,24,0,8,0.0,1,0.0,4.2,0.88,0.12
FDA.01.01,LAB-2,False,2,24,0,8,0.0,1,0.0,8.3,0.77,0.22999999999999998
FDA.01.01,LAB-2,True,1,24,0,8,0.0,1,0.0,4.2,0.88,0.12
FDA.01.02,LAB-1,False,1,34,0,10,0.8,1,0.0,2.9,0.89,0.10999999999999999
FDA.01.02,LAB-1,True,4,34,1,10,0.0,1,10.0,11.8,0.75,0.25
FDA.01.02,LAB-2,False,1,34,0,10,0.8,1,0.0,2.9,0.89,0.10999999999999999
FDA.01.02,LAB-2,True,4,34,1,10,0.0,1,10.0,11.8,0.76,0.24
FDA.01.03,LAB-1,False,4,44,0,10,1.2,1,0.0,9.1,0.82,0.18000000000000005
FDA.01.03,LAB-1,True,3,44,1,10,0.4,1,10.0,6.8,0.79,0.20999999999999996
FDA.01.03,LAB-2,False,4,44,0,10,1.2,1,0.0,9.1,0.82,0.18000000000000005
FDA.01.03,LAB-2,True,3,44,1,10,0.4,1,10.0,6.8,0.79,0.20999999999999996
FDA.01.04,LAB-1,False,2,23,0,8,0.0,1,0.0,8.7,0.86,0.14
FDA.01.04,LAB-1,True,2,23,1,8,0.0,1,12.5,8.7,0.84,0.16000000000000003
FDA.01.04,LAB-2,False,2,23,0,8,0.0,1,0.0,8.7,0.86,0.14
FDA.01.04,LAB-2,True,3,23,2,8,0.0,1,25.0,13.0,0.68,0.31999999999999995
FDA.01.05,LAB-1,False,3,64,0,16,0.2,1,0.0,4.7,0.87,0.13
FDA.01.05,LAB-1,True,8,64,1,16,19.1,1,6.2,12.5,0.78,0.21999999999999997
FDA.01.05,LAB-2,False,5,64,0,16,0.2,1,0.0,7.8,0.86,0.14
FDA.01.05,LAB-2,True,8,64,1,16,19.1,1,6.2,12.5,0.78,0.21999999999999997
FDA.01.06,LAB-1,False,2,39,0,12,1.0,1,0.0,5.1,0.86,0.14
FDA.01.06,LAB-1,True,6,39,2,12,24.5,1,16.7,15.4,0.56,0.43999999999999995
FDA.01.06,LAB-2,False,5,39,2,12,1.0,1,16.7,12.8,0.5,0.5
FDA.01.06,LAB-2,True,7,39,3,12,24.5,1,25.0,17.9,0.45,0.55
FDA.01.07,LAB-1,False,1,44,0,14,0.0,1,0.0,2.3,0.92,0.07999999999999996
FDA.01.07,LAB-1,True,2,44,1,14,0.0,1,7.1,4.5,0.85,0.15000000000000002
FDA.01.07,LAB-2,False,0,44,0,14,0.0,1,0.0,0.0,0.95,0.050000000000000044
FDA.01.07,LAB-2,True,3,44,2,14,0.0,1,14.3,6.8,0.81,0.18999999999999995
FDA.01.08,LAB-1,False,1,41,0,14,0.2,1,0.0,2.4,0.92,0.07999999999999996
FDA.01.08,LAB-1,True,4,41,1,14,0.0,1,7.1,9.8,0.8,0.19999999999999996
FDA.01.08,LAB-2,False,1,41,0,14,0.2,1,0.0,2.4,0.93,0.06999999999999995
FDA.01.08,LAB-2,True,5,41,2,14,0.0,1,14.3,12.2,0.76,0.24
FDA.01.09,LAB-1,False,2,23,0,8,0.0,1,0.0,8.7,0.86,0.14
FDA.01.09,LAB-1,True,2,23,1,8,0.0,1,12.5,8.7,0.84,0.16000000000000003
FDA.01.09,LAB-2,False,2,23,0,8,0.0,1,0.0,8.7,0.86,0.14
FDA.01.09,LAB-2,True,2,23,1,8,0.0,1,12.5,8.7,0.84,0.16000000000000003
FDA.01.10,LAB-1,False,0,41,0,14,0.2,1,0.0,0.0,0.94,0.06000000000000005
FDA.01.10,LAB-1,True,6,41,3,14,0.5,1,21.4,14.6,0.7,0.30000000000000004
FDA.01.10,LAB-2,False,0,41,0,14,0.2,1,0.0,0.0,0.93,0.06999999999999995
FDA.01.10,LAB-2,True,7,41,4,14,0.5,1,28.6,17.1,0.66,0.33999999999999997
FDA.02.01,LAB-1,False,8,88,2,24,36.0,2,8.3,9.1,0.63,0.37
FDA.02.01,LAB-1,True,8,88,2,24,41.5,2,8.3,9.1,0.64,0.36
FDA.02.01,LAB-2,False,10,88,5,24,36.0,2,20.8,11.4,0.65,0.35
FDA.02.01,LAB-2,True,10,88,5,24,41.5,2,20.8,11.4,0.64,0.36
FDA.02.02,LAB-1,False,9,63,4,20,34.2,2,20.0,14.3,0.65,0.35
FDA.02.02,LAB-1,True,6,63,3,20,45.1,2,15.0,9.5,0.71,0.29000000000000004
FDA.02.02,LAB-2,False,11,63,5,20,29.5,2,25.0,17.5,0.6,0.4
FDA.02.02,LAB-2,True,5,63,1,20,29.1,2,5.0,7.9,0.73,0.27
FDA.02.03,LAB-1,False,4,57,1,14,21.5,2,7.1,7.0,0.68,0.31999999999999995
FDA.02.03,LAB-1,True,4,57,0,14,23.1,2,0.0,7.0,0.61,0.39
FDA.02.03,LAB-2,False,7,57,2,14,18.1,2,14.3,12.3,0.61,0.39
FDA.02.03,LAB-2,True,3,57,0,14,23.1,2,0.0,5.3,0.71,0.29000000000000004
FDA.02.04,LAB-1,False,2,46,1,14,9.7,2,7.1,4.3,0.84,0.16000000000000003
FDA.02.04,LAB-1,True,5,46,3,14,10.5,2,21.4,10.9,0.66,0.33999999999999997
FDA.02.04,LAB-2,False,1,46,1,14,9.7,2,7.1,2.2,0.84,0.16000000000000003
FDA.02.04,LAB-2,True,4,46,3,14,10.5,2,21.4,8.7,0.72,0.28
FDA.02.05,LAB-1,False,5,59,2,18,15.5,2,11.1,8.5,0.69,0.31000000000000005
FDA.02.05,LAB-1,True,8,59,2,18,24.4,2,11.1,13.6,0.63,0.37
FDA.02.05,LAB-2,False,4,59,3,18,15.5,2,16.7,6.8,0.69,0.31000000000000005
FDA.02.05,LAB-2,True,8,59,2,18,24.4,2,11.1,13.6,0.63,0.37
FDA.02.06,LAB-1,False,2,41,1,10,6.0,2,10.0,4.9,0.74,0.26
FDA.02.06,LAB-1,True,7,41,1,10,0.0,2,10.0,17.1,0.7,0.30000000000000004
FDA.02.06,LAB-2,False,2,41,1,10,6.0,2,10.0,4.9,0.72,0.28
FDA.02.06,LAB-2,True,5,41,0,10,0.0,2,0.0,12.2,0.75,0.25
FDA.02.07,LAB-1,False,10,96,3,30,38.6,2,10.0,10.4,0.55,0.44999999999999996
FDA.02.07,LAB-1,True,18,96,8,30,41.9,2,26.7,18.8,0.46,0.54
FDA.02.07,LAB-2,False,13,96,5,30,38.6,2,16.7,13.5,0.54,0.45999999999999996
FDA.02.07,LAB-2,True,11,96,4,30,41.9,2,13.3,11.5,0.55,0.44999999999999996
FDA.02.08,LAB-1,False,10,98,2,28,48.1,2,7.1,10.2,0.5,0.5
FDA.02.08,LAB-1,True,10,98,2,28,48.3,2,7.1,10.2,0.48,0.52
FDA.02.08,LAB-2,False,17,98,7,28,48.1,2,25.0,17.3,0.37,0.63
FDA.02.08,LAB-2,True,11,98,3,28,48.3,2,10.7,11.2,0.52,0.48
FDA.02.09,LAB-1,False,3,57,0,14,21.1,2,0.0,5.3,0.66,0.33999999999999997
FDA.02.09,LAB-1,True,10,57,1,14,27.2,2,7.1,17.5,0.63,0.37
FDA.02.09,LAB-2,False,9,57,1,14,17.6,2,7.1,15.8,0.6,0.4
FDA.02.09,LAB-2,True,7,57,1,14,27.2,2,7.1,12.3,0.62,0.38
FDA.02.10,LAB-1,False,1,51,1,16,2.5,2,6.2,2.0,0.88,0.12
FDA.02.10,LAB-1,True,3,51,2,16,0.0,2,12.5,5.9,0.8,0.19999999999999996
FDA.02.10,LAB-2,False,2,51,1,16,2.5,2,6.2,3.9,0.85,0.15000000000000002
FDA.02.10,LAB-2,True,3,51,2,16,0.0,2,12.5,5.9,0.8,0.19999999999999996
FDA.03.01,LAB-1,False,8,92,3,26,41.8,3,11.5,8.7,0.6,0.4
FDA.03.01,LAB-1,True,9,92,4,26,48.2,3,15.4,9.8,0.59,0.41000000000000003
FDA.03.01,LAB-2,False,11,92,5,26,35.6,3,19.2,12.0,0.57,0.43000000000000005
FDA.03.01,LAB-2,True,12,92,4,26,39.3,3,15.4,13.0,0.54,0.45999999999999996
FDA.03.02,LAB-1,False,9,91,8,30,43.6,3,26.7,9.9,0.58,0.42000000000000004
FDA.03.02,LAB-1,True,11,91,6,30,40.4,3,20.0,12.1,0.52,0.48
FDA.03.02,LAB-2,False,13,91,8,30,42.8,3,26.7,14.3,0.53,0.47
FDA.03.02,LAB-2,True,12,91,6,30,40.4,3,20.0,13.2,0.49,0.51
FDA.03.03,LAB-1,False,14,93,9,28,42.9,3,32.1,15.1,0.54,0.45999999999999996
FDA.03.03,LAB-1,True,14,93,3,28,44.2,3,10.7,15.1,0.6,0.4
FDA.03.03,LAB-2,False,14,93,8,28,42.4,3,28.6,15.1,0.54,0.45999999999999996
FDA.03.03,LAB-2,True,16,93,10,28,45.3,3,35.7,17.2,0.48,0.52
FDA.03.04,LAB-1,False,9,74,6,24,38.2,3,25.0,12.2,0.55,0.44999999999999996
FDA.03.04,LAB-1,True,4,74,1,24,36.6,3,4.2,5.4,0.67,0.32999999999999996
FDA.03.04,LAB-2,False,6,74,5,24,38.2,3,20.8,8.1,0.55,0.44999999999999996
FDA.03.04,LAB-2,True,10,74,6,24,36.6,3,25.0,13.5,0.54,0.45999999999999996
FDA.03.05,LAB-1,False,15,94,5,28,48.6,3,17.9,16.0,0.46,0.54
FDA.03.05,LAB-1,True,12,94,4,28,45.3,3,14.3,12.8,0.57,0.43000000000000005
