dist_type,dist_cv,i_repeat,makespan
normal,0.1,0,2063.5458359770128
normal,0.1,1,2134.026891964238
normal,0.1,2,2089.5306222225904
normal,0.1,3,2083.881998635185
normal,0.1,4,2164.997135063033
normal,0.1,5,2073.838471383403
normal,0.1,6,2098.7229330823866
normal,0.1,7,2111.6358083151836
normal,0.1,8,2086.313361173682
normal,0.1,9,2110.66879899154
normal,0.2,0,2120.3102222778907
normal,0.2,1,2141.155803349748
normal,0.2,2,2057.665129313788
normal,0.2,3,2090.507301765263
normal,0.2,4,2097.480682239298
normal,0.2,5,2119.9378698039836
normal,0.2,6,2099.2749396776367
normal,0.2,7,2094.3692675512834
normal,0.2,8,2078.890883502067
normal,0.2,9,2147.6619003552664
normal,0.3,0,2093.397578911139
normal,0.3,1,2095.867429522592
normal,0.3,2,2152.7835916489257
normal,0.3,3,2162.4944108966656
normal,0.3,4,2269.359328860065
normal,0.3,5,2139.818329221768
normal,0.3,6,2101.642585718475
normal,0.3,7,2165.365694653439
normal,0.3,8,2164.2221873941517
normal,0.3,9,2142.3655807376936
normal,0.4,0,2193.3026388281205
normal,0.4,1,2320.8562051133054
normal,0.4,2,2109.973289673611
normal,0.4,3,2338.356678937701
normal,0.4,4,2123.5019264601033
normal,0.4,5,2261.6614408883374
normal,0.4,6,2128.8159386931698
normal,0.4,7,2307.3389569623077
normal,0.4,8,2428.654270142476
normal,0.4,9,2170.0500617205535
normal,0.5,0,2881.591859413816
normal,0.5,1,2119.9436368612955
normal,0.5,2,2232.781037102867
normal,0.5,3,2086.9469129499143
normal,0.5,4,2447.684509591527
normal,0.5,5,2562.483144037096
normal,0.5,6,2404.0467313591353
normal,0.5,7,2119.3171651172484
normal,0.5,8,2125.971390606415
normal,0.5,9,2156.1684441190573
gamma,0.1,0,2081.9333243669344
gamma,0.1,1,2112.9037445759764
gamma,0.1,2,2073.6382354732204
gamma,0.1,3,2133.2899550346833
gamma,0.1,4,2083.832656844067
gamma,0.1,5,2110.3034397798974
gamma,0.1,6,2073.0503987165707
gamma,0.1,7,2115.0593742202154
gamma,0.1,8,2094.5524620853434
gamma,0.1,9,2076.32958393603
gamma,0.2,0,2191.487545664179
gamma,0.2,1,2175.126246385767
gamma,0.2,2,2128.876689677746
gamma,0.2,3,2126.668538564746
gamma,0.2,4,2164.504017407599
gamma,0.2,5,2191.692878818748
gamma,0.2,6,2083.1681733787846
gamma,0.2,7,2073.1461208405817
gamma,0.2,8,2297.7389987011557
gamma,0.2,9,2218.0008934212624
gamma,0.3,0,2244.947563512371
gamma,0.3,1,2097.147793664799
gamma,0.3,2,2088.1280000867964
gamma,0.3,3,2219.5747613692097
gamma,0.3,4,2401.865485000328
gamma,0.3,5,2108.157703333149
gamma,0.3,6,2121.936034796976
gamma,0.3,7,2118.0471385254946
gamma,0.3,8,2166.206608100595
gamma,0.3,9,2131.631975794406
gamma,0.4,0,2390.2009310433655
gamma,0.4,1,2209.5198703238802
gamma,0.4,2,2252.6227992875974
gamma,0.4,3,2163.021182477346
gamma,0.4,4,2251.0018222544327
gamma,0.4,5,2315.2068607178885
gamma,0.4,6,2236.5154753912057
gamma,0.4,7,2246.385321169533
gamma,0.4,8,2410.408730444228
gamma,0.4,9,2742.2083828077684
gamma,0.5,0,2704.68131488657
gamma,0.5,1,2322.872500072926
gamma,0.5,2,2568.357467039784
gamma,0.5,3,2293.8333551797555
gamma,0.5,4,2116.9665246032105
gamma,0.5,5,2095.9289711107026
gamma,0.5,6,2250.6599157397436
gamma,0.5,7,2486.9348471231747
gamma,0.5,8,2573.1649392774284
gamma,0.5,9,3625.7231521334115
weibull,0.1,0,2075.287077794202
weibull,0.1,1,2080.4377730290407
weibull,0.1,2,2089.9133584065985
weibull,0.1,3,2114.1022756741136
weibull,0.1,4,2091.247827374393
weibull,0.1,5,2071.997862403585
weibull,0.1,6,2072.68743771898
weibull,0.1,7,2072.436812432047
weibull,0.1,8,2084.1403987984463
weibull,0.1,9,2086.408842279117
weibull,0.2,0,2113.331789871169
weibull,0.2,1,2140.5660838397453
weibull,0.2,2,2165.4797665299775
weibull,0.2,3,2045.4575482799212
weibull,0.2,4,2064.4695497820885
weibull,0.2,5,2103.727845328068
weibull,0.2,6,2088.2920270893446
weibull,0.2,7,2081.1621442064065
weibull,0.2,8,2145.1162296794437
weibull,0.2,9,2101.8613456356497
weibull,0.3,0,2230.5549462955405
weibull,0.3,1,2346.5833935150245
weibull,0.3,2,2260.710769531436
weibull,0.3,3,2240.8953267665615
weibull,0.3,4,2277.4513556841794
weibull,0.3,5,2231.8348631258123
weibull,0.3,6,2178.8785218692615
weibull,0.3,7,2530.052893010668
weibull,0.3,8,2336.944909349288
weibull,0.3,9,2080.5205280318346
weibull,0.4,0,2343.6009143324254
weibull,0.4,1,2290.874525570171
weibull,0.4,2,2269.2618282101353
weibull,0.4,3,2117.0939354876114
weibull,0.4,4,2727.892533358207
weibull,0.4,5,2302.9325477395732
weibull,0.4,6,2443.4350763688685
weibull,0.4,7,2231.6812585058224
weibull,0.4,8,2242.9176846624327
weibull,0.4,9,2213.6800486540724
weibull,0.5,0,2143.595251488974
weibull,0.5,1,2635.073924860017
weibull,0.5,2,2366.0106865086727
weibull,0.5,3,2957.2230034089716
weibull,0.5,4,2773.5879364955626
weibull,0.5,5,2096.4411431966414
weibull,0.5,6,2765.690425565999
weibull,0.5,7,2565.4820402269556
weibull,0.5,8,2361.2910552814988
weibull,0.5,9,2468.5339145040493
