name,# reactions,# targets,# molecular SMILES,# solids,# liquids,# starting materials,# operations,# type OperationType.ConcentrationAndPurification,# type OperationType.Heating,# type OperationType.MakeSolution,# type OperationType.TransferLiquid
VS-01,"[3, 12]",1,"[13, 32]","[7, 32]","[8, 26]","[10, 20]","[20, 79]","[3, 12]","[3, 12]","[4, 21]","[10, 34]"
VS-02,"[11, 18]",2,"[36, 48]","[20, 44]","[27, 44]","[25, 32]","[63, 116]","[11, 18]","[11, 18]","[12, 28]","[29, 52]"
VS-03,"[13, 28]",3,"[45, 72]","[22, 62]","[39, 59]","[30, 46]","[80, 159]","[13, 28]","[13, 28]","[14, 39]","[40, 68]"
VS-04,"[19, 34]",4,"[58, 85]","[42, 79]","[50, 79]","[36, 51]","[124, 200]","[19, 34]","[19, 34]","[28, 50]","[58, 90]"
VS-05,"[31, 47]",5,"[87, 104]","[66, 111]","[74, 98]","[56, 59]","[189, 279]","[31, 47]","[31, 47]","[40, 68]","[86, 117]"
VS-06,"[34, 50]",6,"[88, 123]","[75, 113]","[74, 109]","[53, 73]","[214, 296]","[34, 50]","[34, 50]","[46, 71]","[95, 133]"
VS-07,"[39, 57]",7,"[98, 133]","[87, 137]","[89, 127]","[58, 76]","[239, 358]","[39, 57]","[39, 57]","[54, 88]","[107, 156]"
VS-08,"[41, 61]",8,"[100, 144]","[96, 147]","[102, 143]","[59, 83]","[264, 388]","[41, 61]","[41, 61]","[61, 94]","[121, 172]"
VS-09,"[51, 63]",9,"[124, 148]","[109, 155]","[129, 151]","[73, 85]","[313, 402]","[51, 63]","[51, 63]","[66, 97]","[145, 179]"
VS-10,"[60, 69]",10,"[141, 158]","[136, 165]","[140, 158]","[77, 90]","[368, 427]","[60, 69]","[60, 69]","[85, 106]","[163, 189]"
